pathway,level1,level2,level3,TSA1,TSA2,TSA3,TSA4,TSA5,TSJ1,TSJ2,TSJ3,TSJ4,TSJ5,TSO1,TSO2,TSO3,TSO4,TSO5
ko00471,D-Glutamine and D-glutamate metabolism,Metabolism of other amino acids,Metabolism,0.001322823,0.001165834,0.001235429,0.001299913,0.001107282,0.001438159,0.001438159,0.001438159,0.001436416,0.001437891,0.001343317,0.001320185,0.001119655,0.001024763,0.001364149
ko00472,D-Arginine and D-ornithine metabolism,Metabolism of other amino acids,Metabolism,0,2.69E-05,1.90E-05,1.17E-05,3.13E-05,0,0,0,0,0,9.54E-06,1.19E-05,3.21E-05,4.16E-05,7.45E-06
ko00473,D-Alanine metabolism,Metabolism of other amino acids,Metabolism,0.000510316,0.000427442,0.000445721,0.000461925,0.000422829,0.000479386,0.000479386,0.000479386,0.000479854,0.000479458,0.000460498,0.000455892,0.000415956,0.000397058,0.000464647
ko00480,Glutathione metabolism,Metabolism of other amino acids,Metabolism,0.002343454,0.002747365,0.002638723,0.002540849,0.002797706,0.002396932,0.002396932,0.002396932,0.002396124,0.002396808,0.002522019,0.002552527,0.002817005,0.002942157,0.002494543
ko00361,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000141101,0.000843397,0.000752012,0.000676048,0.000792023,0.00071908,0.00071908,0.00071908,0.000710343,0.000717738,0.000771877,0.000784754,0.000896387,0.000949212,0.00076028
ko00362,Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.003411119,0.005246965,0.00474135,0.004285071,0.00549261,0.003595398,0.003595398,0.003595398,0.003592612,0.00359497,0.004183904,0.004327438,0.005571746,0.006160554,0.004054635
ko00364,Fluorobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,9.41E-05,0.000490497,0.000450788,0.000419382,0.000444582,0.000479386,0.000479386,0.000479386,0.000473562,0.000478492,0.000489132,0.000491509,0.000512116,0.000521867,0.000486992
ko00365,Furfural degradation,Xenobiotics biodegradation and metabolism,Metabolism,0,5.38E-05,3.79E-05,2.35E-05,6.26E-05,0,0,0,0,0,1.91E-05,2.37E-05,6.41E-05,8.32E-05,1.49E-05
ko00621,Dioxin degradation,Xenobiotics biodegradation and metabolism,Metabolism,0,5.38E-05,3.79E-05,2.35E-05,6.26E-05,0,0,0,0,0,1.91E-05,2.37E-05,6.41E-05,8.32E-05,1.49E-05
ko00622,Xylene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000255158,0.000496306,0.000421914,0.000354273,0.000539934,0.000239693,0.000239693,0.000239693,0.000239927,0.000239729,0.000330468,0.000352608,0.000544537,0.000635359,0.000310529
ko00623,Toluene degradation,Xenobiotics biodegradation and metabolism,Metabolism,9.41E-05,0.000571236,0.000507661,0.000454613,0.000538444,0.000479386,0.000479386,0.000479386,0.000473562,0.000478492,0.000517766,0.000527127,0.000608276,0.000646675,0.000509336
ko00624,Polycyclic aromatic hydrocarbon degradation,Xenobiotics biodegradation and metabolism,Metabolism,0,0.000107651,7.58E-05,4.70E-05,0.00012515,0,0,0,0,0,3.82E-05,4.75E-05,0.000128213,0.000166411,2.98E-05
ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000745484,0.00197664,0.001800181,0.001651306,0.001909734,0.001677852,0.001677852,0.001677852,0.001663759,0.001675688,0.001797865,0.001827136,0.002080885,0.002200959,0.001771504
ko00626,Naphthalene degradation,Xenobiotics biodegradation and metabolism,Metabolism,4.70E-05,0.000433638,0.000358097,0.000291898,0.000441304,0.000239693,0.000239693,0.000239693,0.000236781,0.000239246,0.000311379,0.000328863,0.000480431,0.000552153,0.000295633
ko00627,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001739071,0.001990902,0.00185596,0.001730005,0.00211802,0.001438159,0.001438159,0.001438159,0.001442708,0.001438858,0.001629656,0.001676361,0.002081253,0.002272849,0.001587593
ko00633,Nitrotoluene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000349225,0.000663849,0.000645212,0.000632729,0.000609065,0.00071908,0.00071908,0.00071908,0.000713489,0.000718221,0.000705065,0.000701646,0.000672014,0.000657992,0.000708143
ko00642,Ethylbenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000463282,0.000289845,0.000296157,0.00029921,0.000325689,0.000239693,0.000239693,0.000239693,0.000243073,0.000240212,0.000254111,0.000257627,0.000288111,0.000302536,0.000250944
ko00643,Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001275789,0.001566493,0.001465016,0.001372075,0.001635894,0.001198466,0.001198466,0.001198466,0.001199635,0.001198645,0.001327822,0.001359371,0.001632876,0.001762298,0.001299408
ko00791,Atrazine degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000208124,0.000331795,0.000253393,0.000179814,0.000411506,0,0,0,3.15E-06,4.83E-07,0.000114536,0.000142471,0.000384639,0.000499234,8.94E-05
ko00930,Caprolactam degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001322823,0.002053957,0.001861027,0.001687461,0.002139773,0.001438159,0.001438159,0.001438159,0.001436416,0.001437891,0.00165829,0.001711979,0.002177413,0.002397657,0.001609937
ko00980,Metabolism of xenobiotics by cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism,4.70E-05,0.000864243,0.000661417,0.0004798,0.000941905,0.000239693,0.000239693,0.000239693,0.000236781,0.000239246,0.000464093,0.000518823,0.000993284,0.001217799,0.000414802
ko00982,Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism,9.41E-05,0.001055667,0.000848896,0.000666003,0.001101621,0.000479386,0.000479386,0.000479386,0.000473562,0.000478492,0.00068957,0.000740833,0.001185235,0.001395527,0.000643402
ko00983,Drug metabolism - other enzymes,Xenobiotics biodegradation and metabolism,Metabolism,0.002598612,0.002786153,0.00273836,0.002695476,0.002805751,0.002636625,0.002636625,0.002636625,0.002636051,0.002636537,0.002690228,0.002703301,0.002816637,0.002870267,0.002678454
ko00984,Steroid degradation,Xenobiotics biodegradation and metabolism,Metabolism,4.70E-05,0.000379813,0.000320182,0.00026841,0.000378729,0.000239693,0.000239693,0.000239693,0.000236781,0.000239246,0.000292289,0.000305117,0.000416324,0.000468948,0.000280736
